MATERW_UMSETZ_ID;INSERT_AM;INSERT_VON;UPDATE_AM;UPDATE_VON;MAT_ERWEITERUNG;MATERIAL_ID;MATERW_UMSETZ_ANZ;MATERW_UMSETZ_INF;FARBEN_ID;MAX_VOL_EINHEIT;MAX_VOL_EINHEIT_KLEIN;MAT_ERWEITERUNG_GR
281,0;14.12.2007 10:35;;14.12.2007 11:56;;"65";289,0;;;8,0;;;
282,0;14.12.2007 10:36;;14.12.2007 11:56;;"66";291,0;;;8,0;;;
283,0;14.12.2007 10:36;;14.12.2007 11:56;;"67";292,0;;;8,0;;;
284,0;14.12.2007 10:36;;14.12.2007 11:56;;"68";293,0;;;8,0;;;
285,0;14.12.2007 10:36;;14.12.2007 11:56;;"69";294,0;;;8,0;;;
286,0;14.12.2007 10:36;;14.12.2007 11:56;;"70";295,0;;;8,0;;;
287,0;14.12.2007 10:36;;14.12.2007 11:56;;"71";296,0;;;8,0;;;
288,0;14.12.2007 10:36;;14.12.2007 11:56;;"72";297,0;;;8,0;;;
289,0;14.12.2007 10:36;;14.12.2007 11:56;;"73";298,0;;;8,0;;;
290,0;23.04.2008 09:28;;03.06.2022 12:06;;"82";333,0;;;8,0;;;
291,0;25.07.2008 13:38;;08.10.2021 08:53;;"83";303,0;;;12,0;;;
292,0;05.08.2008 15:10;;;;"84";304,0;;;;;;
293,0;05.08.2008 15:11;;;;"85";305,0;;;;;;
294,0;20.08.2008 14:36;;;;"95";306,0;;;;;;
295,0;20.08.2008 14:37;;;;"96";307,0;;;;;;
296,0;17.09.2008 15:23;;;;"46";308,0;;;;;;
297,0;30.09.2008 14:06;;16.10.2008 11:34;;"98";309,0;;;;;;
299,0;13.11.2008 16:16;;07.03.2011 14:19;;"52";310,0;;;3,0;;;
300,0;13.11.2008 16:16;;;;"57";311,0;;;;;;
301,0;13.11.2008 16:17;;07.03.2011 14:19;;"74";312,0;;;3,0;;;
302,0;17.04.2009 13:32;;;;"86";316,0;;;;;;
303,0;25.11.2009 13:34;;12.01.2010 13:44;;"35";317,0;;;1,0;;;
304,0;25.11.2009 13:34;;12.01.2010 13:44;;"36";318,0;;;1,0;;;
305,0;12.01.2010 11:31;;12.01.2010 13:44;;"37";319,0;;;1,0;;;
306,0;21.01.2010 13:45;;;;"38";321,0;;;1,0;;;
307,0;21.01.2010 13:45;;21.01.2010 13:45;;"75";322,0;;;1,0;;;
308,0;21.01.2010 13:45;;09.06.2011 14:37;;"45";323,0;;;1,0;;;
309,0;21.01.2010 13:45;;21.01.2010 13:45;;;324,0;;;1,0;;;
310,0;21.01.2010 13:45;;21.01.2010 13:45;;;325,0;;;1,0;;;
311,0;06.09.2024 14:20;;;;"97";334,0;;;1,0;;;
